left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 79.1660
10.0000
left: -0.1000, right: 0.1000, mid: 0.0000, NPV: 100.0000
left: 0.0000, right: 0.1000, mid: 0.0500, NPV: 89.0537
left: 0.0500, right: 0.1000, mid: 0.0750, NPV: 83.7996
left: 0.0750, right: 0.1000, mid: 0.0875, NPV: 81.2250
left: 0.0875, right: 0.1000, mid: 0.0938, NPV: 79.9505
left: 0.0938, right: 0.1000, mid: 0.0969, NPV: 79.3164
left: 0.0969, right: 0.1000, mid: 0.0984, NPV: 79.0001
left: 0.0984, right: 0.1000, mid: 0.0992, NPV: 78.8422
left: 0.0992, right: 0.1000, mid: 0.0996, NPV: 78.7632
left: 0.0996, right: 0.1000, mid: 0.0998, NPV: 78.7238
left: 0.0998, right: 0.1000, mid: 0.0999, NPV: 78.7041
left: 0.0999, right: 0.1000, mid: 0.1000, NPV: 78.6942
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6893
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6868
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6856
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6850
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6847
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6845
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.6844
10.0000
left: -0.1000, right: 0.1000, mid: 0.0000, NPV: 100.0000
left: 0.0000, right: 0.1000, mid: 0.0500, NPV: 89.0094
left: 0.0500, right: 0.1000, mid: 0.0750, NPV: 83.7029
left: 0.0750, right: 0.1000, mid: 0.0875, NPV: 81.0951
left: 0.0875, right: 0.1000, mid: 0.0938, NPV: 79.8024
left: 0.0938, right: 0.1000, mid: 0.0969, NPV: 79.1588
left: 0.0969, right: 0.1000, mid: 0.0984, NPV: 78.8377
left: 0.0984, right: 0.1000, mid: 0.0992, NPV: 78.6774
left: 0.0992, right: 0.1000, mid: 0.0996, NPV: 78.5972
left: 0.0996, right: 0.1000, mid: 0.0998, NPV: 78.5572
left: 0.0998, right: 0.1000, mid: 0.0999, NPV: 78.5371
left: 0.0999, right: 0.1000, mid: 0.1000, NPV: 78.5271
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5221
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5196
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5184
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5177
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5174
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5173
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5172
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.5171
10.0000
left: -0.1000, right: 0.1000, mid: 0.0000, NPV: 100.0000
left: 0.0000, right: 0.1000, mid: 0.0500, NPV: 88.9871
left: 0.0500, right: 0.1000, mid: 0.0750, NPV: 83.6539
left: 0.0750, right: 0.1000, mid: 0.0875, NPV: 81.0293
left: 0.0875, right: 0.1000, mid: 0.0938, NPV: 79.7273
left: 0.0938, right: 0.1000, mid: 0.0969, NPV: 79.0789
left: 0.0969, right: 0.1000, mid: 0.0984, NPV: 78.7553
left: 0.0984, right: 0.1000, mid: 0.0992, NPV: 78.5937
left: 0.0992, right: 0.1000, mid: 0.0996, NPV: 78.5129
left: 0.0996, right: 0.1000, mid: 0.0998, NPV: 78.4725
left: 0.0998, right: 0.1000, mid: 0.0999, NPV: 78.4523
left: 0.0999, right: 0.1000, mid: 0.1000, NPV: 78.4422
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4372
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4347
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4334
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4328
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4325
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4323
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.4322
10.0000
left: -0.1000, right: 0.1000, mid: 0.0000, NPV: 100.0000
left: 0.0000, right: 0.1000, mid: 0.0500, NPV: 88.9647
left: 0.0500, right: 0.1000, mid: 0.0750, NPV: 83.6045
left: 0.0750, right: 0.1000, mid: 0.0875, NPV: 80.9628
left: 0.0875, right: 0.1000, mid: 0.0938, NPV: 79.6514
left: 0.0938, right: 0.1000, mid: 0.0969, NPV: 78.9981
left: 0.0969, right: 0.1000, mid: 0.0984, NPV: 78.6720
left: 0.0984, right: 0.1000, mid: 0.0992, NPV: 78.5091
left: 0.0992, right: 0.1000, mid: 0.0996, NPV: 78.4277
left: 0.0996, right: 0.1000, mid: 0.0998, NPV: 78.3870
left: 0.0998, right: 0.1000, mid: 0.0999, NPV: 78.3666
left: 0.0999, right: 0.1000, mid: 0.1000, NPV: 78.3565
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 78.3514
